AudioFix conversion log
Status: success
Generated: 2026-05-16T10:44:49

Settings:
Source: F:\from_git\AudioFix\media\levelup2\levelup2.ogg
Output folder: F:\from_git\AudioFix\media\levelup2\levelup2_out
Maximum dB: 0.000
Minimum dB: -28.000
Interval dB: 1.474
Raw peak dB: 0.813
Headroom dB: 0.500
Raw + Head gain dB: -1.313
Encoder mode: Vorbis Quality
Vorbis quality: 4
Overwrite: True

Files:
index	output_file	gain_db	status	message
0	levelup2_0.ogg	-1.313	success	validated
1	levelup2_1.ogg	-2.787	success	validated
2	levelup2_2.ogg	-4.260	success	validated
3	levelup2_3.ogg	-5.734	success	validated
4	levelup2_4.ogg	-7.208	success	validated
5	levelup2_5.ogg	-8.681	success	validated
6	levelup2_6.ogg	-10.155	success	validated
7	levelup2_7.ogg	-11.629	success	validated
8	levelup2_8.ogg	-13.102	success	validated
9	levelup2_9.ogg	-14.576	success	validated
10	levelup2_10.ogg	-16.050	success	validated
11	levelup2_11.ogg	-17.524	success	validated
12	levelup2_12.ogg	-18.997	success	validated
13	levelup2_13.ogg	-20.471	success	validated
14	levelup2_14.ogg	-21.945	success	validated
15	levelup2_15.ogg	-23.418	success	validated
16	levelup2_16.ogg	-24.892	success	validated
17	levelup2_17.ogg	-26.366	success	validated
18	levelup2_18.ogg	-27.839	success	validated
19	levelup2_19.ogg	-29.313	success	validated
